epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,82.2744,0.63382,0.76485,0.92217,0.92276,0.97411,0.995,0.8244,0.71049,0.82105,0.98503,5.8805e-05,5.8805e-05,5.8805e-05
40,84.3676,0.66881,0.90449,0.91089,0.92276,0.97411,0.995,0.8244,0.71049,0.82105,0.98503,5.55262e-05,5.55262e-05,5.55262e-05
41,86.3936,0.55734,0.95129,0.87772,0.93872,0.9811,0.995,0.83289,0.70232,0.77787,0.97358,5.2e-05,5.2e-05,5.2e-05
42,88.3661,0.73262,1.11599,0.9288,0.93872,0.9811,0.995,0.83289,0.70232,0.77787,0.97358,4.82263e-05,4.82263e-05,4.82263e-05
43,90.4334,0.58408,0.97553,0.95229,0.93892,0.98659,0.995,0.84326,0.69881,0.74424,0.96415,4.4205e-05,4.4205e-05,4.4205e-05
44,92.4588,0.56114,0.94294,0.84557,0.93892,0.98659,0.995,0.84326,0.69881,0.74424,0.96415,3.99363e-05,3.99363e-05,3.99363e-05
45,94.5833,0.54721,0.89878,0.89286,0.94528,0.98159,0.995,0.83978,0.69371,0.71851,0.95441,3.542e-05,3.542e-05,3.542e-05
46,96.503,0.65582,0.85018,0.93286,0.94528,0.98159,0.995,0.83978,0.69371,0.71851,0.95441,3.06562e-05,3.06562e-05,3.06562e-05
47,98.5695,0.78031,1.0854,0.9342,0.9484,0.97848,0.995,0.83589,0.68544,0.70716,0.94737,2.5645e-05,2.5645e-05,2.5645e-05
48,100.582,0.69938,0.93696,0.92748,0.9484,0.97848,0.995,0.83589,0.68544,0.70716,0.94737,2.03863e-05,2.03863e-05,2.03863e-05
49,102.711,0.65851,0.94733,0.93512,0.94934,0.97418,0.995,0.82911,0.68691,0.69841,0.94546,1.488e-05,1.488e-05,1.488e-05
50,104.768,0.58874,0.97248,0.95793,0.94934,0.97418,0.995,0.82911,0.68691,0.69841,0.94546,9.12625e-06,9.12625e-06,9.12625e-06
